"term_name","Presence","ONTOLOGY","ontology_full"
"'de novo' IMP biosynthetic process","Both Scenarios","BP","Biological Process"
"'de novo' NAD biosynthetic process from aspartate","Both Scenarios","BP","Biological Process"
"(1->3)-beta-D-glucan biosynthetic process","Both Scenarios","BP","Biological Process"
"DNA integration","Both Scenarios","BP","Biological Process"
"DNA repair","Both Scenarios","BP","Biological Process"
"DNA replication","Both Scenarios","BP","Biological Process"
"DNA-templated transcription","Both Scenarios","BP","Biological Process"
"L-histidine biosynthetic process","Both Scenarios","BP","Biological Process"
"L-phenylalanine catabolic process","Both Scenarios","BP","Biological Process"
"NAD biosynthetic process","Both Scenarios","BP","Biological Process"
"RNA modification","Both Scenarios","BP","Biological Process"
"RNA processing","Both Scenarios","BP","Biological Process"
"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"abscisic acid-activated signaling pathway","Both Scenarios","BP","Biological Process"
"acetyl-CoA biosynthetic process","Both Scenarios","BP","Biological Process"
"activation of GTPase activity","Both Scenarios","BP","Biological Process"
"amino acid biosynthetic process","Both Scenarios","BP","Biological Process"
"amino acid metabolic process","Both Scenarios","BP","Biological Process"
"arachidonate secretion","Both Scenarios","BP","Biological Process"
"aromatic amino acid metabolic process","Both Scenarios","BP","Biological Process"
"autophagy","Both Scenarios","BP","Biological Process"
"auxin-activated signaling pathway","Both Scenarios","BP","Biological Process"
"biosynthetic process","Both Scenarios","BP","Biological Process"
"brassinosteroid mediated signaling pathway","Both Scenarios","BP","Biological Process"
"calcium-mediated signaling","Both Scenarios","BP","Biological Process"
"carbohydrate metabolic process","Both Scenarios","BP","Biological Process"
"carboxylic acid metabolic process","Both Scenarios","BP","Biological Process"
"cell wall macromolecule catabolic process","Both Scenarios","BP","Biological Process"
"cellular response to heat","Both Scenarios","BP","Biological Process"
"chaperone cofactor-dependent protein refolding","Both Scenarios","BP","Biological Process"
"chaperone-mediated protein complex assembly","Both Scenarios","BP","Biological Process"
"chitin catabolic process","Both Scenarios","BP","Biological Process"
"chloroplast accumulation movement","Both Scenarios","BP","Biological Process"
"chloroplast avoidance movement","Both Scenarios","BP","Biological Process"
"chromatin remodeling","Both Scenarios","BP","Biological Process"
"cytidine to uridine editing","Both Scenarios","BP","Biological Process"
"cytokinin-activated signaling pathway","Both Scenarios","BP","Biological Process"
"cytosolic ribosome assembly","Both Scenarios","BP","Biological Process"
"defense response","Both Scenarios","BP","Biological Process"
"double-strand break repair","Both Scenarios","BP","Biological Process"
"double-strand break repair via homologous recombination","Both Scenarios","BP","Biological Process"
"electron transport chain","Both Scenarios","BP","Biological Process"
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Both Scenarios","BP","Biological Process"
"endoplasmic reticulum to Golgi vesicle-mediated transport","Both Scenarios","BP","Biological Process"
"endosomal transport","Both Scenarios","BP","Biological Process"
"enzyme-directed rRNA pseudouridine synthesis","Both Scenarios","BP","Biological Process"
"exocytosis","Both Scenarios","BP","Biological Process"
"fatty acid beta-oxidation","Both Scenarios","BP","Biological Process"
"fatty acid biosynthetic process","Both Scenarios","BP","Biological Process"
"fatty acid metabolic process","Both Scenarios","BP","Biological Process"
"formation of cytoplasmic translation initiation complex","Both Scenarios","BP","Biological Process"
"fructose 6-phosphate metabolic process","Both Scenarios","BP","Biological Process"
"glutathione metabolic process","Both Scenarios","BP","Biological Process"
"glycolytic process","Both Scenarios","BP","Biological Process"
"glycoprotein biosynthetic process","Both Scenarios","BP","Biological Process"
"hydrogen peroxide catabolic process","Both Scenarios","BP","Biological Process"
"innate immune response","Both Scenarios","BP","Biological Process"
"interstrand cross-link repair","Both Scenarios","BP","Biological Process"
"intracellular protein transport","Both Scenarios","BP","Biological Process"
"isoprenoid biosynthetic process","Both Scenarios","BP","Biological Process"
"leaf vascular tissue pattern formation","Both Scenarios","BP","Biological Process"
"lipid homeostasis","Both Scenarios","BP","Biological Process"
"lipid metabolic process","Both Scenarios","BP","Biological Process"
"lipid transport","Both Scenarios","BP","Biological Process"
"lysine biosynthetic process via diaminopimelate","Both Scenarios","BP","Biological Process"
"mRNA splicing, via spliceosome","Both Scenarios","BP","Biological Process"
"magnesium ion transport","Both Scenarios","BP","Biological Process"
"malate metabolic process","Both Scenarios","BP","Biological Process"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Both Scenarios","BP","Biological Process"
"membrane lipid biosynthetic process","Both Scenarios","BP","Biological Process"
"meristem development","Both Scenarios","BP","Biological Process"
"meristem maintenance","Both Scenarios","BP","Biological Process"
"methylglyoxal catabolic process","Both Scenarios","BP","Biological Process"
"microtubule cytoskeleton organization","Both Scenarios","BP","Biological Process"
"microtubule-based movement","Both Scenarios","BP","Biological Process"
"microtubule-based process","Both Scenarios","BP","Biological Process"
"mitochondrial mRNA modification","Both Scenarios","BP","Biological Process"
"mitochondrion organization","Both Scenarios","BP","Biological Process"
"mitotic sister chromatid cohesion","Both Scenarios","BP","Biological Process"
"monoatomic cation transport","Both Scenarios","BP","Biological Process"
"monoatomic ion transport","Both Scenarios","BP","Biological Process"
"negative regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"negative regulation of GTPase activity","Both Scenarios","BP","Biological Process"
"nucleobase-containing compound metabolic process","Both Scenarios","BP","Biological Process"
"nucleosome assembly","Both Scenarios","BP","Biological Process"
"nucleosome organization","Both Scenarios","BP","Biological Process"
"peptide metabolic process","Both Scenarios","BP","Biological Process"
"phloem or xylem histogenesis","Both Scenarios","BP","Biological Process"
"phosphatidylinositol dephosphorylation","Both Scenarios","BP","Biological Process"
"phospholipid metabolic process","Both Scenarios","BP","Biological Process"
"phosphorelay signal transduction system","Both Scenarios","BP","Biological Process"
"phosphorylation","Both Scenarios","BP","Biological Process"
"photomorphogenesis","Both Scenarios","BP","Biological Process"
"photosynthesis","Both Scenarios","BP","Biological Process"
"polyamine catabolic process","Both Scenarios","BP","Biological Process"
"polyketide biosynthetic process","Both Scenarios","BP","Biological Process"
"positive regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"positive regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"proteasome-mediated ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"protein catabolic process","Both Scenarios","BP","Biological Process"
"protein dephosphorylation","Both Scenarios","BP","Biological Process"
"protein desumoylation","Both Scenarios","BP","Biological Process"
"protein deubiquitination","Both Scenarios","BP","Biological Process"
"protein folding","Both Scenarios","BP","Biological Process"
"protein import into nucleus","Both Scenarios","BP","Biological Process"
"protein insertion into membrane","Both Scenarios","BP","Biological Process"
"protein insertion into mitochondrial inner membrane from matrix","Both Scenarios","BP","Biological Process"
"protein phosphorylation","Both Scenarios","BP","Biological Process"
"protein poly-ADP-ribosylation","Both Scenarios","BP","Biological Process"
"protein transport","Both Scenarios","BP","Biological Process"
"protein ubiquitination","Both Scenarios","BP","Biological Process"
"proteolysis","Both Scenarios","BP","Biological Process"
"proton transmembrane transport","Both Scenarios","BP","Biological Process"
"pseudouridine synthesis","Both Scenarios","BP","Biological Process"
"pyruvate metabolic process","Both Scenarios","BP","Biological Process"
"rRNA base methylation","Both Scenarios","BP","Biological Process"
"rRNA processing","Both Scenarios","BP","Biological Process"
"regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"regulation of growth","Both Scenarios","BP","Biological Process"
"regulation of pH","Both Scenarios","BP","Biological Process"
"regulation of protein catabolic process","Both Scenarios","BP","Biological Process"
"regulation of response to reactive oxygen species","Both Scenarios","BP","Biological Process"
"regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"regulation of translation","Both Scenarios","BP","Biological Process"
"response to desiccation","Both Scenarios","BP","Biological Process"
"response to endoplasmic reticulum stress","Both Scenarios","BP","Biological Process"
"response to oxidative stress","Both Scenarios","BP","Biological Process"
"response to stress","Both Scenarios","BP","Biological Process"
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","Both Scenarios","BP","Biological Process"
"ribosomal large subunit biogenesis","Both Scenarios","BP","Biological Process"
"ribosomal small subunit biogenesis","Both Scenarios","BP","Biological Process"
"ribosome biogenesis","Both Scenarios","BP","Biological Process"
