"term_name","Presence","ONTOLOGY","ontology_full"
"DNA integration","Both Scenarios","BP","Biological Process"
"DNA repair","Both Scenarios","BP","Biological Process"
"DNA replication","Both Scenarios","BP","Biological Process"
"G protein-coupled receptor signaling pathway","Both Scenarios","BP","Biological Process"
"RNA catabolic process","Both Scenarios","BP","Biological Process"
"RNA modification","Both Scenarios","BP","Biological Process"
"actin filament organization","Both Scenarios","BP","Biological Process"
"biosynthetic process","Both Scenarios","BP","Biological Process"
"carbohydrate metabolic process","Both Scenarios","BP","Biological Process"
"cell wall biogenesis","Both Scenarios","BP","Biological Process"
"cell wall modification","Both Scenarios","BP","Biological Process"
"coenzyme A biosynthetic process","Both Scenarios","BP","Biological Process"
"defense response","Both Scenarios","BP","Biological Process"
"endoplasmic reticulum to Golgi vesicle-mediated transport","Both Scenarios","BP","Biological Process"
"fatty acid beta-oxidation","Both Scenarios","BP","Biological Process"
"fatty acid metabolic process","Both Scenarios","BP","Biological Process"
"glucan metabolic process","Both Scenarios","BP","Biological Process"
"glycoprotein biosynthetic process","Both Scenarios","BP","Biological Process"
"heme biosynthetic process","Both Scenarios","BP","Biological Process"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Both Scenarios","BP","Biological Process"
"meristem development","Both Scenarios","BP","Biological Process"
"meristem maintenance","Both Scenarios","BP","Biological Process"
"microtubule-based movement","Both Scenarios","BP","Biological Process"
"mitotic cell cycle","Both Scenarios","BP","Biological Process"
"monoatomic anion transport","Both Scenarios","BP","Biological Process"
"monoatomic cation transport","Both Scenarios","BP","Biological Process"
"monoatomic ion homeostasis","Both Scenarios","BP","Biological Process"
"phosphorylation","Both Scenarios","BP","Biological Process"
"polysaccharide catabolic process","Both Scenarios","BP","Biological Process"
"positive regulation of growth","Both Scenarios","BP","Biological Process"
"positive regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"protein dephosphorylation","Both Scenarios","BP","Biological Process"
"protein folding","Both Scenarios","BP","Biological Process"
"protein metabolic process","Both Scenarios","BP","Biological Process"
"protein phosphorylation","Both Scenarios","BP","Biological Process"
"protein quality control for misfolded or incompletely synthesized proteins","Both Scenarios","BP","Biological Process"
"protein ubiquitination","Both Scenarios","BP","Biological Process"
"proteolysis","Both Scenarios","BP","Biological Process"
"rRNA processing","Both Scenarios","BP","Biological Process"
"regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"regulation of gene expression","Both Scenarios","BP","Biological Process"
"regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"response to auxin","Both Scenarios","BP","Biological Process"
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","Both Scenarios","BP","Biological Process"
"seryl-tRNA aminoacylation","Both Scenarios","BP","Biological Process"
"signal transduction","Both Scenarios","BP","Biological Process"
"tRNA aminoacylation for protein translation","Both Scenarios","BP","Biological Process"
"thiamine biosynthetic process","Both Scenarios","BP","Biological Process"
"translation","Both Scenarios","BP","Biological Process"
"transmembrane transport","Both Scenarios","BP","Biological Process"
"triglyceride biosynthetic process","Both Scenarios","BP","Biological Process"
"ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"vesicle-mediated transport","Both Scenarios","BP","Biological Process"
"xenobiotic detoxification by transmembrane export across the plasma membrane","Both Scenarios","BP","Biological Process"
"xyloglucan metabolic process","Both Scenarios","BP","Biological Process"
"90S preribosome","Both Scenarios","CC","Cellular Component"
"Golgi apparatus","Both Scenarios","CC","Cellular Component"
"U12-type spliceosomal complex","Both Scenarios","CC","Cellular Component"
"actin cytoskeleton","Both Scenarios","CC","Cellular Component"
"apoplast","Both Scenarios","CC","Cellular Component"
"cell wall","Both Scenarios","CC","Cellular Component"
"chloroplast","Both Scenarios","CC","Cellular Component"
"chloroplast stroma","Both Scenarios","CC","Cellular Component"
"chloroplast thylakoid membrane","Both Scenarios","CC","Cellular Component"
"chromatin","Both Scenarios","CC","Cellular Component"
"cytoplasm","Both Scenarios","CC","Cellular Component"
"cytosol","Both Scenarios","CC","Cellular Component"
"endopeptidase Clp complex","Both Scenarios","CC","Cellular Component"
"endoplasmic reticulum","Both Scenarios","CC","Cellular Component"
"endoplasmic reticulum membrane","Both Scenarios","CC","Cellular Component"
"endosome","Both Scenarios","CC","Cellular Component"
"extracellular region","Both Scenarios","CC","Cellular Component"
"histone deacetylase complex","Both Scenarios","CC","Cellular Component"
"intracellular membrane-bounded organelle","Both Scenarios","CC","Cellular Component"
"mediator complex","Both Scenarios","CC","Cellular Component"
"membrane","Both Scenarios","CC","Cellular Component"
"microtubule","Both Scenarios","CC","Cellular Component"
"mitochondrial inner membrane","Both Scenarios","CC","Cellular Component"
"mitochondrion","Both Scenarios","CC","Cellular Component"
"myosin complex","Both Scenarios","CC","Cellular Component"
"nucleoplasm","Both Scenarios","CC","Cellular Component"
"nucleus","Both Scenarios","CC","Cellular Component"
"peroxisome","Both Scenarios","CC","Cellular Component"
"plant-type vacuole membrane","Both Scenarios","CC","Cellular Component"
"plasma membrane","Both Scenarios","CC","Cellular Component"
"ribonucleoprotein complex","Both Scenarios","CC","Cellular Component"
"ribosome","Both Scenarios","CC","Cellular Component"
"small ribosomal subunit","Both Scenarios","CC","Cellular Component"
"small-subunit processome","Both Scenarios","CC","Cellular Component"
"spliceosomal complex","Both Scenarios","CC","Cellular Component"
"vacuole","Both Scenarios","CC","Cellular Component"
"ABC-type transporter activity","Both Scenarios","MF","Molecular Function"
"ATP binding","Both Scenarios","MF","Molecular Function"
"ATP hydrolysis activity","Both Scenarios","MF","Molecular Function"
"ATP-dependent peptidase activity","Both Scenarios","MF","Molecular Function"
"ATPase binding","Both Scenarios","MF","Molecular Function"
"ATPase-coupled monoatomic cation transmembrane transporter activity","Both Scenarios","MF","Molecular Function"
"DNA binding","Both Scenarios","MF","Molecular Function"
"DNA helicase activity","Both Scenarios","MF","Molecular Function"
"DNA-binding transcription factor activity","Both Scenarios","MF","Molecular Function"
"DNA-binding transcription factor activity, RNA polymerase II-specific","Both Scenarios","MF","Molecular Function"
"FMN binding","Both Scenarios","MF","Molecular Function"
"G-protein beta/gamma-subunit complex binding","Both Scenarios","MF","Molecular Function"
"GTP binding","Both Scenarios","MF","Molecular Function"
"GTPase activator activity","Both Scenarios","MF","Molecular Function"
"GTPase activity","Both Scenarios","MF","Molecular Function"
"NAD binding","Both Scenarios","MF","Molecular Function"
"O-acyltransferase activity","Both Scenarios","MF","Molecular Function"
"RNA binding","Both Scenarios","MF","Molecular Function"
"RNA endonuclease activity","Both Scenarios","MF","Molecular Function"
"RNA helicase activity","Both Scenarios","MF","Molecular Function"
"RNA-DNA hybrid ribonuclease activity","Both Scenarios","MF","Molecular Function"
"acid phosphatase activity","Both Scenarios","MF","Molecular Function"
"actin filament binding","Both Scenarios","MF","Molecular Function"
"acyltransferase activity","Both Scenarios","MF","Molecular Function"
"acyltransferase activity, transferring groups other than amino-acyl groups","Both Scenarios","MF","Molecular Function"
"aldo-keto reductase (NADPH) activity","Both Scenarios","MF","Molecular Function"
"aminoacyl-tRNA ligase activity","Both Scenarios","MF","Molecular Function"
"antiporter activity","Both Scenarios","MF","Molecular Function"
"aspartic-type endopeptidase activity","Both Scenarios","MF","Molecular Function"
"beta-amylase activity","Both Scenarios","MF","Molecular Function"
"calcium ion binding","Both Scenarios","MF","Molecular Function"
"catalytic activity","Both Scenarios","MF","Molecular Function"
"cation binding","Both Scenarios","MF","Molecular Function"
"channel activity","Both Scenarios","MF","Molecular Function"
"chromatin binding","Both Scenarios","MF","Molecular Function"
"cyclin-dependent protein serine/threonine kinase regulator activity","Both Scenarios","MF","Molecular Function"
"cysteine-type endopeptidase activity","Both Scenarios","MF","Molecular Function"
"cysteine-type peptidase activity","Both Scenarios","MF","Molecular Function"
"cytoskeletal motor activity","Both Scenarios","MF","Molecular Function"
"diacylglycerol O-acyltransferase activity","Both Scenarios","MF","Molecular Function"
"dipeptidyl-peptidase activity","Both Scenarios","MF","Molecular Function"
"electron transfer activity","Both Scenarios","MF","Molecular Function"
"ferrochelatase activity","Both Scenarios","MF","Molecular Function"
"glycosyltransferase activity","Both Scenarios","MF","Molecular Function"
"guanyl nucleotide binding","Both Scenarios","MF","Molecular Function"
"heme binding","Both Scenarios","MF","Molecular Function"
"hydrolase activity","Both Scenarios","MF","Molecular Function"
"hydrolase activity, hydrolyzing O-glycosyl compounds","Both Scenarios","MF","Molecular Function"
"intramolecular phosphotransferase activity","Both Scenarios","MF","Molecular Function"
"iron ion binding","Both Scenarios","MF","Molecular Function"
"iron-sulfur cluster binding","Both Scenarios","MF","Molecular Function"
"kinase activity","Both Scenarios","MF","Molecular Function"
"lipid binding","Both Scenarios","MF","Molecular Function"
"lyase activity","Both Scenarios","MF","Molecular Function"
"mRNA binding","Both Scenarios","MF","Molecular Function"
"manganese ion binding","Both Scenarios","MF","Molecular Function"
"metal ion binding","Both Scenarios","MF","Molecular Function"
"metalloaminopeptidase activity","Both Scenarios","MF","Molecular Function"
"metalloendopeptidase activity","Both Scenarios","MF","Molecular Function"
"methyltransferase activity","Both Scenarios","MF","Molecular Function"
"microfilament motor activity","Both Scenarios","MF","Molecular Function"
"microtubule binding","Both Scenarios","MF","Molecular Function"
"microtubule motor activity","Both Scenarios","MF","Molecular Function"
"nucleic acid binding","Both Scenarios","MF","Molecular Function"
"nucleotide binding","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity","Both Scenarios","MF","Molecular Function"
"pantothenate kinase activity","Both Scenarios","MF","Molecular Function"
"pectinesterase activity","Both Scenarios","MF","Molecular Function"
"peptidase activity","Both Scenarios","MF","Molecular Function"
"peptidyl-prolyl cis-trans isomerase activity","Both Scenarios","MF","Molecular Function"
"phosphatase activity","Both Scenarios","MF","Molecular Function"
"phosphoglucomutase activity","Both Scenarios","MF","Molecular Function"
"protein binding","Both Scenarios","MF","Molecular Function"
"protein dimerization activity","Both Scenarios","MF","Molecular Function"
"protein kinase activity","Both Scenarios","MF","Molecular Function"
"protein serine/threonine kinase activity","Both Scenarios","MF","Molecular Function"
"protein serine/threonine phosphatase activity","Both Scenarios","MF","Molecular Function"
"pyridoxal phosphate binding","Both Scenarios","MF","Molecular Function"
"rRNA binding","Both Scenarios","MF","Molecular Function"
"ribonuclease T2 activity","Both Scenarios","MF","Molecular Function"
"sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"serine-tRNA ligase activity","Both Scenarios","MF","Molecular Function"
"serine-type carboxypeptidase activity","Both Scenarios","MF","Molecular Function"
"serine-type endopeptidase activity","Both Scenarios","MF","Molecular Function"
"serine-type peptidase activity","Both Scenarios","MF","Molecular Function"
"single-stranded DNA binding","Both Scenarios","MF","Molecular Function"
"solute:inorganic anion antiporter activity","Both Scenarios","MF","Molecular Function"
"sterol binding","Both Scenarios","MF","Molecular Function"
"structural constituent of ribosome","Both Scenarios","MF","Molecular Function"
"structural molecule activity","Both Scenarios","MF","Molecular Function"
