"seqnames","start","end","ID","Name","Description","clean_id","go_terms","TERM","ONTOLOGY","term_name","ontology_full"
"Lcu.1GRN.Chr2",51063639,51063938,"Lcu.1GRN.2g015050","Lcu.1GRN.2g015050","12-oxophytodienoate reductase-like protein","Lcu.1GRN.2g015050","GO:0010181","FMN binding","MF","FMN binding","Molecular Function"
"Lcu.1GRN.Chr2",51063639,51063938,"Lcu.1GRN.2g015050","Lcu.1GRN.2g015050","12-oxophytodienoate reductase-like protein","Lcu.1GRN.2g015050","GO:0016491","oxidoreductase activity","MF","oxidoreductase activity","Molecular Function"
"Lcu.1GRN.Chr6",231486177,231487754,"Lcu.1GRN.6g026180","Lcu.1GRN.6g026180","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.6g026180","GO:0003676","nucleic acid binding","MF","nucleic acid binding","Molecular Function"
"Lcu.1GRN.Chr6",231486177,231487754,"Lcu.1GRN.6g026180","Lcu.1GRN.6g026180","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.6g026180","GO:0000272","polysaccharide catabolic process","BP","polysaccharide catabolic process","Biological Process"
"Lcu.1GRN.Chr6",231486177,231487754,"Lcu.1GRN.6g026180","Lcu.1GRN.6g026180","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.6g026180","GO:0016161","beta-amylase activity","MF","beta-amylase activity","Molecular Function"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0015935","small ribosomal subunit","CC","small ribosomal subunit","Cellular Component"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0019843","rRNA binding","MF","rRNA binding","Molecular Function"
"Lcu.1GRN.Chr2",50743954,50746535,"Lcu.1GRN.2g015010","Lcu.1GRN.2g015010","30S ribosomal protein S6","Lcu.1GRN.2g015010","GO:0070181","small ribosomal subunit rRNA binding","MF","small ribosomal subunit rRNA binding","Molecular Function"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0005730","nucleolus","CC","nucleolus","Cellular Component"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0022627","cytosolic small ribosomal subunit","CC","cytosolic small ribosomal subunit","Cellular Component"
"Lcu.1GRN.Chr2",128924410,128924952,"Lcu.1GRN.2g025130","Lcu.1GRN.2g025130","40S ribosomal protein S13","Lcu.1GRN.2g025130","GO:0070181","small ribosomal subunit rRNA binding","MF","small ribosomal subunit rRNA binding","Molecular Function"
"Lcu.1GRN.Chr4",432594888,432595319,"Lcu.1GRN.4g059560","Lcu.1GRN.4g059560","40S ribosomal protein S17-like","Lcu.1GRN.4g059560","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
