seqnames;start;end;ID;Name;Description;z_score
Lcu.1GRN.Chr6;436558904;436563088;Lcu.1GRN.6g063020;Lcu.1GRN.6g063020;AT-hook motif nuclear-localized protein;43.10477083
Lcu.1GRN.Chr6;436542780;436545149;Lcu.1GRN.6g063010;Lcu.1GRN.6g063010;Ethylene receptor;43.10477083
Lcu.1GRN.Chr6;436534468;436534992;Lcu.1GRN.6g063000;Lcu.1GRN.6g063000;Peptidyl-prolyl cis-trans isomerase;43.10477083
Lcu.1GRN.Chr6;436524543;436528047;Lcu.1GRN.6g062990;Lcu.1GRN.6g062990;Serine/threonine-protein phosphatase;43.10477083
Lcu.1GRN.Chr5;499103837;499105238;Lcu.1GRN.5g066630;Lcu.1GRN.5g066630;Cold-regulated protein 27-like;32.24029217
Lcu.1GRN.Chr5;499094237;499101258;Lcu.1GRN.5g066620;Lcu.1GRN.5g066620;Serine/threonine-protein kinase tricorner-like;32.24029217
Lcu.1GRN.Chr5;499073049;499080614;Lcu.1GRN.5g066610;Lcu.1GRN.5g066610;Trimethylguanosine synthase;32.24029217
Lcu.1GRN.Chr5;499138793;499142121;Lcu.1GRN.5g066640;Lcu.1GRN.5g066640;Abscisic acid 8'-hydroxylase 4;27.89799098
Lcu.1GRN.Chr6;433247689;433255206;Lcu.1GRN.6g061850;Lcu.1GRN.6g061850;Piezo-type mechanosensitive ion channel homolog;26.11307332
Lcu.1GRN.Chr6;433266720;433277249;Lcu.1GRN.6g061860;Lcu.1GRN.6g061860;Piezo-type mechanosensitive ion channel homolog;26.11307332
Lcu.1GRN.Chr6;433279603;433281622;Lcu.1GRN.6g061870;Lcu.1GRN.6g061870;piezo-type mechanosensitive ion channel homolog;26.11307332
Lcu.1GRN.Chr6;433292326;433294132;Lcu.1GRN.6g061880;Lcu.1GRN.6g061880;piezo-type mechanosensitive ion channel homolog;26.11307332
Lcu.1GRN.Chr6;429053499;429054354;Lcu.1GRN.6g060530;Lcu.1GRN.6g060530;Alanine--glyoxylate transaminase;21.81415385
Lcu.1GRN.Chr6;429023007;429024552;Lcu.1GRN.6g060520;Lcu.1GRN.6g060520;Nicotianamine synthase;21.81415385
Lcu.1GRN.Chr6;429019171;429022106;Lcu.1GRN.6g060510;Lcu.1GRN.6g060510;Peptide chain release factor 2;21.81415385
Lcu.1GRN.Chr6;434047704;434050293;Lcu.1GRN.6g062130;Lcu.1GRN.6g062130;double-stranded RNA-binding protein 2-like;20.79542325
Lcu.1GRN.Chr6;428013737;428018944;Lcu.1GRN.6g060210;Lcu.1GRN.6g060210;50S ribosomal protein L21  mitochondrial;19.66225968
Lcu.1GRN.Chr6;428049516;428054784;Lcu.1GRN.6g060220;Lcu.1GRN.6g060220;Glucose-6-phosphate 1-dehydrogenase;19.66225968
Lcu.1GRN.Chr3;197907379;197916783;Lcu.1GRN.3g024110;Lcu.1GRN.3g024110;GDSL esterase/lipase family;18.85267985
Lcu.1GRN.Chr3;197951303;197955944;Lcu.1GRN.3g024140;Lcu.1GRN.3g024140;O-glucosyltransferase rumi;18.85267985
Lcu.1GRN.Chr3;197960666;197963089;Lcu.1GRN.3g024150;Lcu.1GRN.3g024150;Protein kinase;18.85267985
Lcu.1GRN.Chr3;197920498;197922821;Lcu.1GRN.3g024120;Lcu.1GRN.3g024120;RING-type domain-containing protein;18.85267985
Lcu.1GRN.Chr3;197941608;197947460;Lcu.1GRN.3g024130;Lcu.1GRN.3g024130;ULP_PROTEASE domain-containing protein;18.85267985
Lcu.1GRN.Chr3;197337906;197349877;Lcu.1GRN.3g024070;Lcu.1GRN.3g024070;ABC transporter G family member 31;16.5343745
Lcu.1GRN.Chr2;588255949;588257953;Lcu.1GRN.2g077430;Lcu.1GRN.2g077430;histone-lysine N-methyltransferase  H3 lysine-79 specific-like isoform X3;15.4686885
