"seqnames","start","end","ID","Name","Description","clean_id","go_terms","TERM","ONTOLOGY","term_name","ontology_full"
"Lcu.1GRN.Chr7",235204953,235207589,"Lcu.1GRN.7g030870","Lcu.1GRN.7g030870","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030870","GO:0008935","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","Molecular Function"
"Lcu.1GRN.Chr7",235204953,235207589,"Lcu.1GRN.7g030870","Lcu.1GRN.7g030870","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030870","GO:0009234","menaquinone biosynthetic process","BP","menaquinone biosynthetic process","Biological Process"
"Lcu.1GRN.Chr7",235204953,235207589,"Lcu.1GRN.7g030870","Lcu.1GRN.7g030870","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030870","GO:0005829","cytosol","CC","cytosol","Cellular Component"
"Lcu.1GRN.Chr7",235204953,235207589,"Lcu.1GRN.7g030870","Lcu.1GRN.7g030870","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030870","GO:0003824","catalytic activity","MF","catalytic activity","Molecular Function"
"Lcu.1GRN.Chr7",234728523,234729831,"Lcu.1GRN.7g030780","Lcu.1GRN.7g030780","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030780","GO:0005829","cytosol","CC","cytosol","Cellular Component"
"Lcu.1GRN.Chr7",234728523,234729831,"Lcu.1GRN.7g030780","Lcu.1GRN.7g030780","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030780","GO:0008935","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","Molecular Function"
"Lcu.1GRN.Chr7",234728523,234729831,"Lcu.1GRN.7g030780","Lcu.1GRN.7g030780","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030780","GO:0009234","menaquinone biosynthetic process","BP","menaquinone biosynthetic process","Biological Process"
"Lcu.1GRN.Chr7",234738989,234740288,"Lcu.1GRN.7g030800","Lcu.1GRN.7g030800","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030800","GO:0005829","cytosol","CC","cytosol","Cellular Component"
"Lcu.1GRN.Chr7",234738989,234740288,"Lcu.1GRN.7g030800","Lcu.1GRN.7g030800","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030800","GO:0008935","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","Molecular Function"
"Lcu.1GRN.Chr7",234738989,234740288,"Lcu.1GRN.7g030800","Lcu.1GRN.7g030800","1; 4-dihydroxy-2-naphthoyl-CoA synthase","Lcu.1GRN.7g030800","GO:0009234","menaquinone biosynthetic process","BP","menaquinone biosynthetic process","Biological Process"
"Lcu.1GRN.Chr7",241358196,241361980,"Lcu.1GRN.7g031270","Lcu.1GRN.7g031270","12-oxophytodienoate reductase-like protein","Lcu.1GRN.7g031270","GO:0010181","FMN binding","MF","FMN binding","Molecular Function"
"Lcu.1GRN.Chr7",241358196,241361980,"Lcu.1GRN.7g031270","Lcu.1GRN.7g031270","12-oxophytodienoate reductase-like protein","Lcu.1GRN.7g031270","GO:0016491","oxidoreductase activity","MF","oxidoreductase activity","Molecular Function"
"Lcu.1GRN.Chr7",241358196,241361980,"Lcu.1GRN.7g031270","Lcu.1GRN.7g031270","12-oxophytodienoate reductase-like protein","Lcu.1GRN.7g031270","GO:0005515","protein binding","MF","protein binding","Molecular Function"
"Lcu.1GRN.Chr6",293551638,293554202,"Lcu.1GRN.6g034340","Lcu.1GRN.6g034340","1-aminocyclopropane-1-carboxylate synthase","Lcu.1GRN.6g034340","GO:0003824","catalytic activity","MF","catalytic activity","Molecular Function"
"Lcu.1GRN.Chr6",293551638,293554202,"Lcu.1GRN.6g034340","Lcu.1GRN.6g034340","1-aminocyclopropane-1-carboxylate synthase","Lcu.1GRN.6g034340","GO:0009058","biosynthetic process","BP","biosynthetic process","Biological Process"
"Lcu.1GRN.Chr6",293551638,293554202,"Lcu.1GRN.6g034340","Lcu.1GRN.6g034340","1-aminocyclopropane-1-carboxylate synthase","Lcu.1GRN.6g034340","GO:0030170","pyridoxal phosphate binding","MF","pyridoxal phosphate binding","Molecular Function"
"Lcu.1GRN.Chr6",293551638,293554202,"Lcu.1GRN.6g034340","Lcu.1GRN.6g034340","1-aminocyclopropane-1-carboxylate synthase","Lcu.1GRN.6g034340","GO:0006520","amino acid metabolic process","BP","amino acid metabolic process","Biological Process"
"Lcu.1GRN.Chr6",293551638,293554202,"Lcu.1GRN.6g034340","Lcu.1GRN.6g034340","1-aminocyclopropane-1-carboxylate synthase","Lcu.1GRN.6g034340","GO:0008483","transaminase activity","MF","transaminase activity","Molecular Function"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0016020","membrane","CC","membrane","Cellular Component"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0030001","metal ion transport","BP","metal ion transport","Biological Process"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0046873","metal ion transmembrane transporter activity","MF","metal ion transmembrane transporter activity","Molecular Function"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0004656","procollagen-proline 4-dioxygenase activity","MF","procollagen-proline 4-dioxygenase activity","Molecular Function"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0005783","endoplasmic reticulum","CC","endoplasmic reticulum","Cellular Component"
"Lcu.1GRN.Chr6",293282045,293296484,"Lcu.1GRN.6g034300","Lcu.1GRN.6g034300","2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein","Lcu.1GRN.6g034300","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","BP","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","Biological Process"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0003729","mRNA binding","MF","mRNA binding","Molecular Function"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0009570","chloroplast stroma","CC","chloroplast stroma","Cellular Component"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","MF","hydrolase activity, hydrolyzing O-glycosyl compounds","Molecular Function"
"Lcu.1GRN.Chr7",241175621,241176589,"Lcu.1GRN.7g031210","Lcu.1GRN.7g031210","30S ribosomal protein S1;  chloroplastic","Lcu.1GRN.7g031210","GO:0005975","carbohydrate metabolic process","BP","carbohydrate metabolic process","Biological Process"
"Lcu.1GRN.Chr2",538185353,538188070,"Lcu.1GRN.2g070940","Lcu.1GRN.2g070940","3-deoxy-manno-octulosonate cytidylyltransferase","Lcu.1GRN.2g070940","GO:0000813","ESCRT I complex","CC","ESCRT I complex","Cellular Component"
"Lcu.1GRN.Chr2",538185353,538188070,"Lcu.1GRN.2g070940","Lcu.1GRN.2g070940","3-deoxy-manno-octulosonate cytidylyltransferase","Lcu.1GRN.2g070940","GO:0031902","late endosome membrane","CC","late endosome membrane","Cellular Component"
"Lcu.1GRN.Chr2",538185353,538188070,"Lcu.1GRN.2g070940","Lcu.1GRN.2g070940","3-deoxy-manno-octulosonate cytidylyltransferase","Lcu.1GRN.2g070940","GO:0036258","multivesicular body assembly","BP","multivesicular body assembly","Biological Process"
"Lcu.1GRN.Chr2",538185353,538188070,"Lcu.1GRN.2g070940","Lcu.1GRN.2g070940","3-deoxy-manno-octulosonate cytidylyltransferase","Lcu.1GRN.2g070940","GO:0043130","ubiquitin binding","MF","ubiquitin binding","Molecular Function"
"Lcu.1GRN.Chr2",538185353,538188070,"Lcu.1GRN.2g070940","Lcu.1GRN.2g070940","3-deoxy-manno-octulosonate cytidylyltransferase","Lcu.1GRN.2g070940","GO:0070676","intralumenal vesicle formation","BP","intralumenal vesicle formation","Biological Process"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","MF","acyltransferase activity, transferring groups other than amino-acyl groups","Molecular Function"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0003988","acetyl-CoA C-acyltransferase activity","MF","acetyl-CoA C-acyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0005777","peroxisome","CC","peroxisome","Cellular Component"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0006635","fatty acid beta-oxidation","BP","fatty acid beta-oxidation","Biological Process"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0010124","phenylacetate catabolic process","BP","phenylacetate catabolic process","Biological Process"
"Lcu.1GRN.Chr1",59548582,59552994,"Lcu.1GRN.1g009000","Lcu.1GRN.1g009000","3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein","Lcu.1GRN.1g009000","GO:0016746","acyltransferase activity","MF","acyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr3",344169049,344170220,"Lcu.1GRN.3g047200","Lcu.1GRN.3g047200","40S ribosomal protein S3a","Lcu.1GRN.3g047200","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr3",344169049,344170220,"Lcu.1GRN.3g047200","Lcu.1GRN.3g047200","40S ribosomal protein S3a","Lcu.1GRN.3g047200","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr3",344169049,344170220,"Lcu.1GRN.3g047200","Lcu.1GRN.3g047200","40S ribosomal protein S3a","Lcu.1GRN.3g047200","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr1",59809584,59811966,"Lcu.1GRN.1g009020","Lcu.1GRN.1g009020","50S ribosomal L24-like protein","Lcu.1GRN.1g009020","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr1",59809584,59811966,"Lcu.1GRN.1g009020","Lcu.1GRN.1g009020","50S ribosomal L24-like protein","Lcu.1GRN.1g009020","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr1",59809584,59811966,"Lcu.1GRN.1g009020","Lcu.1GRN.1g009020","50S ribosomal L24-like protein","Lcu.1GRN.1g009020","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr1",59809584,59811966,"Lcu.1GRN.1g009020","Lcu.1GRN.1g009020","50S ribosomal L24-like protein","Lcu.1GRN.1g009020","GO:0003723","RNA binding","MF","RNA binding","Molecular Function"
"Lcu.1GRN.Chr3",345097189,345102500,"Lcu.1GRN.3g047380","Lcu.1GRN.3g047380","50S ribosomal protein L4","Lcu.1GRN.3g047380","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr3",345097189,345102500,"Lcu.1GRN.3g047380","Lcu.1GRN.3g047380","50S ribosomal protein L4","Lcu.1GRN.3g047380","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr3",345097189,345102500,"Lcu.1GRN.3g047380","Lcu.1GRN.3g047380","50S ribosomal protein L4","Lcu.1GRN.3g047380","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr6",292772568,292774664,"Lcu.1GRN.6g034170","Lcu.1GRN.6g034170","50S ribosomal protein L5;  chloroplastic","Lcu.1GRN.6g034170","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr6",292772568,292774664,"Lcu.1GRN.6g034170","Lcu.1GRN.6g034170","50S ribosomal protein L5;  chloroplastic","Lcu.1GRN.6g034170","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr6",292772568,292774664,"Lcu.1GRN.6g034170","Lcu.1GRN.6g034170","50S ribosomal protein L5;  chloroplastic","Lcu.1GRN.6g034170","GO:0006412","translation","BP","translation","Biological Process"
"Lcu.1GRN.Chr7",109741847,109743112,"Lcu.1GRN.7g017920","Lcu.1GRN.7g017920","60S ribosomal protein L10","Lcu.1GRN.7g017920","GO:0003735","structural constituent of ribosome","MF","structural constituent of ribosome","Molecular Function"
"Lcu.1GRN.Chr7",109741847,109743112,"Lcu.1GRN.7g017920","Lcu.1GRN.7g017920","60S ribosomal protein L10","Lcu.1GRN.7g017920","GO:0005840","ribosome","CC","ribosome","Cellular Component"
"Lcu.1GRN.Chr7",109741847,109743112,"Lcu.1GRN.7g017920","Lcu.1GRN.7g017920","60S ribosomal protein L10","Lcu.1GRN.7g017920","GO:0006412","translation","BP","translation","Biological Process"
