"chr","start","stop","mid_pos_mb","n_snps","xpclr","z_score","chr_num","color_group"
"Lcu.1GRN.Chr4",106500001,107000001,106.750001,28,430.837993933259,20.849274741019,4,"Even"
"Lcu.1GRN.Chr4",106350001,106850001,106.600001,27,426.175389770089,20.6180389772106,4,"Even"
"Lcu.1GRN.Chr4",106400001,106900001,106.650001,27,426.175389770089,20.6180389772106,4,"Even"
"Lcu.1GRN.Chr4",106450001,106950001,106.700001,27,426.175389770089,20.6180389772106,4,"Even"
"Lcu.1GRN.Chr2",416000001,416500001,416.250001,29,404.38609469711,19.5374273463018,2,"Even"
"Lcu.1GRN.Chr2",416050001,416550001,416.300001,29,404.38609469711,19.5374273463018,2,"Even"
"Lcu.1GRN.Chr4",106100001,106600001,106.350001,31,401.515932566521,19.3950854040536,4,"Even"
"Lcu.1GRN.Chr4",106150001,106650001,106.400001,28,389.047581546424,18.7767338196886,4,"Even"
"Lcu.1GRN.Chr2",415900001,416400001,416.150001,25,385.959841374837,18.6236013786681,2,"Even"
"Lcu.1GRN.Chr2",415950001,416450001,416.200001,25,385.959841374837,18.6236013786681,2,"Even"
"Lcu.1GRN.Chr4",106250001,106750001,106.500001,24,383.699771915211,18.5115161856156,4,"Even"
"Lcu.1GRN.Chr4",106300001,106800001,106.550001,24,383.699771915211,18.5115161856156,4,"Even"
"Lcu.1GRN.Chr2",416100001,416600001,416.350001,25,361.367444098087,17.403973554997,2,"Even"
"Lcu.1GRN.Chr2",415850001,416350001,416.100001,26,359.678433576734,17.320209284148,2,"Even"
"Lcu.1GRN.Chr4",106200001,106700001,106.450001,25,352.439939524942,16.9612256255931,4,"Even"
"Lcu.1GRN.Chr4",106050001,106550001,106.300001,28,317.4409663527,15.2254972620495,4,"Even"
"Lcu.1GRN.Chr2",416150001,416650001,416.400001,22,309.71872646692,14.8425228606614,2,"Even"
"Lcu.1GRN.Chr2",415800001,416300001,416.050001,24,293.866230465556,14.0563390258639,2,"Even"
"Lcu.1GRN.Chr2",54100001,54600001,54.350001,16,293.844650436624,14.0552687925139,2,"Even"
"Lcu.1GRN.Chr2",54150001,54650001,54.400001,16,293.844650436624,14.0552687925139,2,"Even"
"Lcu.1GRN.Chr2",54200001,54700001,54.450001,16,293.844650436624,14.0552687925139,2,"Even"
"Lcu.1GRN.Chr2",54250001,54750001,54.500001,16,293.844650436624,14.0552687925139,2,"Even"
"Lcu.1GRN.Chr2",54300001,54800001,54.550001,16,293.844650436624,14.0552687925139,2,"Even"
"Lcu.1GRN.Chr2",54350001,54850001,54.600001,16,276.01465102707,13.1710132589352,2,"Even"
"Lcu.1GRN.Chr2",54450001,54950001,54.700001,16,266.573408191985,12.7027871514059,2,"Even"
"Lcu.1GRN.Chr2",54500001,55000001,54.750001,14,264.52635213954,12.6012660800732,2,"Even"
"Lcu.1GRN.Chr4",106550001,107050001,106.800001,16,257.699964780148,12.2627203146897,4,"Even"
"Lcu.1GRN.Chr2",54400001,54900001,54.650001,15,244.051834899897,11.5858591386233,2,"Even"
"Lcu.1GRN.Chr4",289650001,290150001,289.900001,20,241.163167549703,11.4425994541778,4,"Even"
"Lcu.1GRN.Chr4",289700001,290200001,289.950001,20,235.123978154126,11.143093743678,4,"Even"
"Lcu.1GRN.Chr2",415700001,416200001,415.950001,22,232.908458762491,11.0332179530622,2,"Even"
"Lcu.1GRN.Chr2",415750001,416250001,416.000001,21,228.372733128921,10.8082745642178,2,"Even"
"Lcu.1GRN.Chr2",416200001,416700001,416.450001,18,213.636784398156,10.0774644330223,2,"Even"
"Lcu.1GRN.Chr4",289750001,290250001,290.000001,18,211.255719954262,9.95937865175231,4,"Even"
"Lcu.1GRN.Chr6",373350001,373850001,373.600001,18,204.955275935685,9.64691635944035,6,"Even"
