seqnames,start,end,ID,Name,Description,z_score
Lcu.1GRN.Chr7,649474601,649478881,Lcu.1GRN.7g078450,Lcu.1GRN.7g078450,[Acyl-carrier-protein] S-malonyltransferase,4.907428244
Lcu.1GRN.Chr2,135757479,135759168,Lcu.1GRN.2g026090,Lcu.1GRN.2g026090,1; 3-beta-glucan synthase,7.040905805
Lcu.1GRN.Chr4,160750127,160753308,Lcu.1GRN.4g020700,Lcu.1GRN.4g020700,1; 3-beta-glucan synthase,5.737301956
Lcu.1GRN.Chr4,114235660,114236205,Lcu.1GRN.4g016080,Lcu.1GRN.4g016080,1-acylglycerol-3-phosphate O-acyltransferase,6.446870086
Lcu.1GRN.Chr2,416199810,416201268,Lcu.1GRN.2g056500,Lcu.1GRN.2g056500,1-aminocyclopropane-1-carboxylate oxidase,19.53742735
Lcu.1GRN.Chr7,631138186,631139575,Lcu.1GRN.7g069660,Lcu.1GRN.7g069660,1-aminocyclopropane-1-carboxylate oxidase-like protein,6.381848133
Lcu.1GRN.Chr4,488460721,488462791,Lcu.1GRN.4g071020,Lcu.1GRN.4g071020,1-aminocyclopropane-1-carboxylate synthase,7.14254818
Lcu.1GRN.Chr7,4259498,4264390,Lcu.1GRN.7g002270,Lcu.1GRN.7g002270,1-deoxy-D-xylulose-5-phosphate reductoisomerase,6.272664414
Lcu.1GRN.Chr6,398695789,398697613,Lcu.1GRN.6g052740,Lcu.1GRN.6g052740,1-phosphatidylinositol 4-kinase,8.617707281
Lcu.1GRN.Chr7,649594010,649601781,Lcu.1GRN.7g078580,Lcu.1GRN.7g078580,26S proteasome non-ATPase regulatory subunit 2 homolog,4.726987658
Lcu.1GRN.Chr2,1884928,1888069,Lcu.1GRN.2g001090,Lcu.1GRN.2g001090,26S proteasome regulatory subunit 6A homolog,5.301144802
Lcu.1GRN.Chr4,113993630,113994503,Lcu.1GRN.4g016010,Lcu.1GRN.4g016010,28 kDa heat- and acid-stable phosphoprotein,6.211252673
Lcu.1GRN.Chr4,491787653,491789800,Lcu.1GRN.4g071840,Lcu.1GRN.4g071840,28S ribosomal protein S36;  mitochondrial,5.215318822
Lcu.1GRN.Chr2,139972146,139983425,Lcu.1GRN.2g026600,Lcu.1GRN.2g026600,2-oxoglutarate and iron-dependent oxygenase domain-containing protein CP2,5.109059641
Lcu.1GRN.Chr4,107424600,107428623,Lcu.1GRN.4g015150,Lcu.1GRN.4g015150,2-phosphoglycerate kinase,5.315802515
Lcu.1GRN.Chr2,1455966,1457354,Lcu.1GRN.2g000870,Lcu.1GRN.2g000870,3-ketoacyl-CoA synthase,5.301144802
Lcu.1GRN.Chr7,4456867,4458544,Lcu.1GRN.7g002400,Lcu.1GRN.7g002400,40S ribosomal protein S8,6.272664414
Lcu.1GRN.Chr3,384816128,384816874,Lcu.1GRN.3g054740,Lcu.1GRN.3g054740,40S ribosomal protein S9,8.567536692
Lcu.1GRN.Chr4,324576638,324577296,Lcu.1GRN.4g039310,Lcu.1GRN.4g039310,40S ribosomal protein SA,8.04279485
Lcu.1GRN.Chr2,52995074,52997805,Lcu.1GRN.2g015340,Lcu.1GRN.2g015340,4Fe-4S ferredoxin,8.645663378
Lcu.1GRN.Chr6,274893234,274895185,Lcu.1GRN.6g031860,Lcu.1GRN.6g031860,4-hydroxy-tetrahydrodipicolinate synthase,4.738840699
Lcu.1GRN.Chr6,340702622,340703178,Lcu.1GRN.6g042490,Lcu.1GRN.6g042490,50S ribosomal protein 5;  chloroplastic,6.281792177
Lcu.1GRN.Chr2,936163,936474,Lcu.1GRN.2g000510,Lcu.1GRN.2g000510,50S ribosomal protein 6;  chloroplastic,4.930762925
Lcu.1GRN.Chr4,114061211,114061709,Lcu.1GRN.4g016040,Lcu.1GRN.4g016040,50S ribosomal protein L31,6.446870086
Lcu.1GRN.Chr2,319300131,319303021,Lcu.1GRN.2g042930,Lcu.1GRN.2g042930,5-adenylylsulfate reductase-like protein,8.44594598
Lcu.1GRN.Chr5,30443710,30444568,Lcu.1GRN.5g012400,Lcu.1GRN.5g012400,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,5.592569352
Lcu.1GRN.Chr5,30451634,30452492,Lcu.1GRN.5g012420,Lcu.1GRN.5g012420,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,5.592569352
Lcu.1GRN.Chr2,321674889,321678032,Lcu.1GRN.2g043110,Lcu.1GRN.2g043110,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,4.67341553
Lcu.1GRN.Chr3,348578901,348584093,Lcu.1GRN.3g048010,Lcu.1GRN.3g048010,60S acidic ribosomal protein P0,4.594173006
Lcu.1GRN.Chr7,631304952,631307078,Lcu.1GRN.7g069760,Lcu.1GRN.7g069760,60S ribosomal L14-like protein,6.381848133
Lcu.1GRN.Chr4,115413306,115416356,Lcu.1GRN.4g016240,Lcu.1GRN.4g016240,60S ribosomal protein L10,5.296686333
Lcu.1GRN.Chr4,115413374,115413929,Lcu.1GRN.4g016250,Lcu.1GRN.4g016250,60S ribosomal protein L10,5.296686333
Lcu.1GRN.Chr2,318893677,318894656,Lcu.1GRN.2g042880,Lcu.1GRN.2g042880,60S ribosomal protein L13a-4,6.732870228
Lcu.1GRN.Chr3,317442724,317444023,Lcu.1GRN.3g042260,Lcu.1GRN.3g042260,60S ribosomal protein L17,5.277901767
Lcu.1GRN.Chr2,135589998,135590231,Lcu.1GRN.2g026040,Lcu.1GRN.2g026040,60S ribosomal protein L18a,7.847914807
Lcu.1GRN.Chr4,491706252,491706658,Lcu.1GRN.4g071760,Lcu.1GRN.4g071760,60S ribosomal protein L27,5.215318822
Lcu.1GRN.Chr2,989102,989509,Lcu.1GRN.2g000550,Lcu.1GRN.2g000550,60S ribosomal protein L27,4.930762925
Lcu.1GRN.Chr4,170616572,170618564,Lcu.1GRN.4g021870,Lcu.1GRN.4g021870,60S ribosome subunit biogenesis protein NIP7 homolog,6.03383999
Lcu.1GRN.Chr4,327038074,327038425,Lcu.1GRN.4g039910,Lcu.1GRN.4g039910,65-kDa microtubule-associated protein 3-like,8.614435118
Lcu.1GRN.Chr3,316970376,316974293,Lcu.1GRN.3g042190,Lcu.1GRN.3g042190,65-kDa microtubule-associated protein 8,5.277901767
Lcu.1GRN.Chr4,324991223,325004063,Lcu.1GRN.4g039520,Lcu.1GRN.4g039520,AAA domain-containing protein,8.04279485
Lcu.1GRN.Chr4,326679101,326681163,Lcu.1GRN.4g039840,Lcu.1GRN.4g039840,AAA domain-containing protein,7.525667368
Lcu.1GRN.Chr7,630985863,631004810,Lcu.1GRN.7g069500,Lcu.1GRN.7g069500,AAA domain-containing protein,6.381848133
Lcu.1GRN.Chr4,324368776,324370971,Lcu.1GRN.4g039220,Lcu.1GRN.4g039220,AAA domain-containing protein,5.009819467
Lcu.1GRN.Chr6,332400893,332401567,Lcu.1GRN.6g040640,Lcu.1GRN.6g040640,AB hydrolase-1 domain-containing protein,5.326029949
