"chr","start","stop","mid_pos_mb","n_snps","xpclr","z_score","chr_num","color_group"
"Lcu.1GRN.Chr6",375500001,376000001,375.750001,19,251.96507083324,14.1511580751573,6,"Even"
"Lcu.1GRN.Chr6",292900001,293400001,293.150001,18,243.455116985505,13.6542590812756,6,"Even"
"Lcu.1GRN.Chr6",292950001,293450001,293.200001,14,227.116411923469,12.7002367385085,6,"Even"
"Lcu.1GRN.Chr6",293000001,293500001,293.250001,14,227.116411923469,12.7002367385085,6,"Even"
"Lcu.1GRN.Chr6",375550001,376050001,375.800001,17,216.770763309945,12.0961509256951,6,"Even"
"Lcu.1GRN.Chr6",375600001,376100001,375.850001,17,216.770763309945,12.0961509256951,6,"Even"
"Lcu.1GRN.Chr6",292850001,293350001,293.100001,16,212.863486874,11.8680037741854,6,"Even"
"Lcu.1GRN.Chr6",375650001,376150001,375.900001,16,212.370057179203,11.8391922526093,6,"Even"
"Lcu.1GRN.Chr6",293050001,293550001,293.300001,13,209.584038123149,11.6765156869477,6,"Even"
"Lcu.1GRN.Chr6",394250001,394750001,394.500001,24,208.579137414852,11.6178392052842,6,"Even"
"Lcu.1GRN.Chr6",375700001,376200001,375.950001,18,205.380919252294,11.4310941987161,6,"Even"
"Lcu.1GRN.Chr6",394400001,394900001,394.650001,21,205.08679647007,11.413920273078,6,"Even"
"Lcu.1GRN.Chr6",391350001,391850001,391.600001,27,203.686826887444,11.3321755903783,6,"Even"
"Lcu.1GRN.Chr6",391400001,391900001,391.650001,27,203.686826887444,11.3321755903783,6,"Even"
"Lcu.1GRN.Chr3",98600001,99100001,98.850001,22,200.049380394438,11.1197838976602,3,"Odd"
"Lcu.1GRN.Chr6",293100001,293600001,293.350001,12,199.788827653813,11.104570137752,6,"Even"
"Lcu.1GRN.Chr6",293150001,293650001,293.400001,12,199.788827653813,11.104570137752,6,"Even"
"Lcu.1GRN.Chr6",394350001,394850001,394.600001,21,196.548372217637,10.9153588829362,6,"Even"
"Lcu.1GRN.Chr3",98500001,99000001,98.750001,23,194.283410885678,10.7831070485352,3,"Odd"
"Lcu.1GRN.Chr6",391300001,391800001,391.550001,27,191.345219951206,10.611545117026,6,"Even"
"Lcu.1GRN.Chr6",391450001,391950001,391.700001,24,189.521552033571,10.5050605496991,6,"Even"
"Lcu.1GRN.Chr6",391500001,392000001,391.750001,24,189.521552033571,10.5050605496991,6,"Even"
"Lcu.1GRN.Chr3",98450001,98950001,98.700001,22,188.528871150586,10.44709758764,3,"Odd"
"Lcu.1GRN.Chr6",391700001,392200001,391.950001,27,187.677841592473,10.3974056928594,6,"Even"
"Lcu.1GRN.Chr6",375250001,375750001,375.500001,17,187.171299905936,10.3678285577888,6,"Even"
"Lcu.1GRN.Chr6",394300001,394800001,394.550001,20,186.364616777194,10.3207260655514,6,"Even"
"Lcu.1GRN.Chr6",380300001,380800001,380.550001,30,183.829732938919,10.1727133675529,6,"Even"
"Lcu.1GRN.Chr3",93450001,93950001,93.700001,19,183.109795907271,10.1306760083516,3,"Odd"
"Lcu.1GRN.Chr6",391750001,392250001,392.000001,26,182.968393144213,10.1224194546789,6,"Even"
"Lcu.1GRN.Chr3",98650001,99150001,98.900001,20,180.809317783382,9.99635033683082,3,"Odd"
"Lcu.1GRN.Chr3",98700001,99200001,98.950001,20,180.809317783382,9.99635033683082,3,"Odd"
"Lcu.1GRN.Chr3",98550001,99050001,98.800001,21,178.410985064643,9.85631090344984,3,"Odd"
"Lcu.1GRN.Chr6",380250001,380750001,380.500001,28,175.433357829019,9.68244627339311,6,"Even"
"Lcu.1GRN.Chr3",98750001,99250001,99.000001,19,175.178213834914,9.66754833196665,3,"Odd"
"Lcu.1GRN.Chr6",318150001,318650001,318.400001,35,173.735208711132,9.58329078991611,6,"Even"
"Lcu.1GRN.Chr6",375900001,376400001,376.150001,21,172.500968060354,9.51122307385645,6,"Even"
"Lcu.1GRN.Chr6",318200001,318700001,318.450001,34,171.760476868401,9.46798555049928,6,"Even"
"Lcu.1GRN.Chr6",380200001,380700001,380.450001,27,170.139481015489,9.3733350714473,6,"Even"
"Lcu.1GRN.Chr6",391650001,392150001,391.900001,25,167.944497581195,9.24516926942267,6,"Even"
"Lcu.1GRN.Chr6",292800001,293300001,293.050001,13,166.962003868837,9.1878011395948,6,"Even"
"Lcu.1GRN.Chr6",292700001,293200001,292.950001,18,166.934323257924,9.18618485965265,6,"Even"
"Lcu.1GRN.Chr6",391600001,392100001,391.850001,26,166.229410052913,9.14502474661197,6,"Even"
"Lcu.1GRN.Chr6",394450001,394950001,394.700001,16,164.55262069925,9.04711646676759,6,"Even"
"Lcu.1GRN.Chr3",90350001,90850001,90.600001,15,164.327974533562,9.03399930353648,3,"Odd"
"Lcu.1GRN.Chr3",93400001,93900001,93.650001,17,162.767555843882,8.9428859448968,3,"Odd"
"Lcu.1GRN.Chr6",391550001,392050001,391.800001,21,162.591226111539,8.93258999404198,6,"Even"
"Lcu.1GRN.Chr2",523000001,523500001,523.250001,27,162.549375031212,8.93014629574714,2,"Even"
"Lcu.1GRN.Chr6",318250001,318750001,318.500001,34,162.111918412126,8.9046030604041,6,"Even"
"Lcu.1GRN.Chr6",318300001,318800001,318.550001,34,162.111918412126,8.9046030604041,6,"Even"
"Lcu.1GRN.Chr6",318350001,318850001,318.600001,34,162.111918412126,8.9046030604041,6,"Even"
"Lcu.1GRN.Chr6",394100001,394600001,394.350001,21,161.488823632537,8.86822035203573,6,"Even"
"Lcu.1GRN.Chr6",394150001,394650001,394.400001,21,161.488823632537,8.86822035203573,6,"Even"
"Lcu.1GRN.Chr6",394200001,394700001,394.450001,21,161.488823632537,8.86822035203573,6,"Even"
"Lcu.1GRN.Chr6",375850001,376350001,376.100001,19,160.995120948524,8.83939289052981,6,"Even"
"Lcu.1GRN.Chr3",98800001,99300001,99.050001,18,160.913503447914,8.83462721792311,3,"Odd"
"Lcu.1GRN.Chr3",98850001,99350001,99.100001,18,160.913503447914,8.83462721792311,3,"Odd"
"Lcu.1GRN.Chr6",375450001,375950001,375.700001,11,160.224217187775,8.79437956731441,6,"Even"
"Lcu.1GRN.Chr3",98400001,98900001,98.650001,18,159.776686997754,8.76824813286341,3,"Odd"
"Lcu.1GRN.Chr6",375300001,375800001,375.550001,13,159.5659451346,8.75594284641377,6,"Even"
"Lcu.1GRN.Chr6",375350001,375850001,375.600001,13,159.5659451346,8.75594284641377,6,"Even"
"Lcu.1GRN.Chr3",93200001,93700001,93.450001,17,159.229748302049,8.73631220318934,3,"Odd"
"Lcu.1GRN.Chr3",93250001,93750001,93.500001,17,159.229748302049,8.73631220318934,3,"Odd"
"Lcu.1GRN.Chr3",93300001,93800001,93.550001,17,159.229748302049,8.73631220318934,3,"Odd"
"Lcu.1GRN.Chr6",375950001,376450001,376.200001,24,158.906156938173,8.71741759741175,6,"Even"
"Lcu.1GRN.Chr3",128950001,129450001,129.200001,24,155.900390366912,8.54190990232588,3,"Odd"
"Lcu.1GRN.Chr6",375400001,375900001,375.650001,12,155.662329681114,8.52800946086966,6,"Even"
"Lcu.1GRN.Chr3",100150001,100650001,100.400001,28,155.441726463994,8.51512836673032,3,"Odd"
"Lcu.1GRN.Chr3",93350001,93850001,93.600001,16,155.286740518781,8.50607868660041,3,"Odd"
"Lcu.1GRN.Chr6",375800001,376300001,376.050001,17,153.355928511654,8.39333794077705,6,"Even"
"Lcu.1GRN.Chr3",112200001,112700001,112.450001,20,152.285100351451,8.33081193359233,3,"Odd"
"Lcu.1GRN.Chr3",112250001,112750001,112.500001,20,152.285100351451,8.33081193359233,3,"Odd"
"Lcu.1GRN.Chr6",394050001,394550001,394.300001,20,149.942365752069,8.19401889262011,6,"Even"
"Lcu.1GRN.Chr3",129050001,129550001,129.300001,23,149.624321165794,8.17544816500428,3,"Odd"
"Lcu.1GRN.Chr3",129100001,129600001,129.350001,21,149.420868943451,8.16356852307038,3,"Odd"
"Lcu.1GRN.Chr3",93150001,93650001,93.400001,16,149.396463262723,8.16214346737492,3,"Odd"
"Lcu.1GRN.Chr3",94050001,94550001,94.300001,22,148.421502569595,8.10521519300851,3,"Odd"
"Lcu.1GRN.Chr6",375750001,376250001,376.000001,15,147.891029400714,8.07424069084144,6,"Even"
"Lcu.1GRN.Chr3",121850001,122350001,122.100001,24,147.116053424486,8.02898958962978,3,"Odd"
"Lcu.1GRN.Chr3",121900001,122400001,122.150001,23,146.71618934054,8.0056413947327,3,"Odd"
"Lcu.1GRN.Chr3",121950001,122450001,122.200001,23,146.71618934054,8.0056413947327,3,"Odd"
"Lcu.1GRN.Chr3",122000001,122500001,122.250001,23,146.71618934054,8.0056413947327,3,"Odd"
