seqnames,start,end,ID,Name,Description
Lcu.1GRN.Chr7,235204953,235207589,Lcu.1GRN.7g030870,Lcu.1GRN.7g030870,1; 4-dihydroxy-2-naphthoyl-CoA synthase
Lcu.1GRN.Chr7,234728523,234729831,Lcu.1GRN.7g030780,Lcu.1GRN.7g030780,1; 4-dihydroxy-2-naphthoyl-CoA synthase
Lcu.1GRN.Chr7,234738989,234740288,Lcu.1GRN.7g030800,Lcu.1GRN.7g030800,1; 4-dihydroxy-2-naphthoyl-CoA synthase
Lcu.1GRN.Chr7,241358196,241361980,Lcu.1GRN.7g031270,Lcu.1GRN.7g031270,12-oxophytodienoate reductase-like protein
Lcu.1GRN.Chr6,293551638,293554202,Lcu.1GRN.6g034340,Lcu.1GRN.6g034340,1-aminocyclopropane-1-carboxylate synthase
Lcu.1GRN.Chr7,228519379,228521316,Lcu.1GRN.7g030120,Lcu.1GRN.7g030120,1-phosphatidylinositol 4-kinase
Lcu.1GRN.Chr6,293282045,293296484,Lcu.1GRN.6g034300,Lcu.1GRN.6g034300,2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein
Lcu.1GRN.Chr7,241175621,241176589,Lcu.1GRN.7g031210,Lcu.1GRN.7g031210,30S ribosomal protein S1;  chloroplastic
Lcu.1GRN.Chr2,538185353,538188070,Lcu.1GRN.2g070940,Lcu.1GRN.2g070940,3-deoxy-manno-octulosonate cytidylyltransferase
Lcu.1GRN.Chr1,59548582,59552994,Lcu.1GRN.1g009000,Lcu.1GRN.1g009000,3-ketoacyl-CoA thiolase 2;  peroxisomal-like protein
Lcu.1GRN.Chr3,344169049,344170220,Lcu.1GRN.3g047200,Lcu.1GRN.3g047200,40S ribosomal protein S3a
Lcu.1GRN.Chr1,59809584,59811966,Lcu.1GRN.1g009020,Lcu.1GRN.1g009020,50S ribosomal L24-like protein
Lcu.1GRN.Chr3,345097189,345102500,Lcu.1GRN.3g047380,Lcu.1GRN.3g047380,50S ribosomal protein L4
Lcu.1GRN.Chr6,292772568,292774664,Lcu.1GRN.6g034170,Lcu.1GRN.6g034170,50S ribosomal protein L5;  chloroplastic
Lcu.1GRN.Chr7,109741847,109743112,Lcu.1GRN.7g017920,Lcu.1GRN.7g017920,60S ribosomal protein L10
Lcu.1GRN.Chr7,479260610,479265132,Lcu.1GRN.7g049340,Lcu.1GRN.7g049340,60S ribosomal protein L10
Lcu.1GRN.Chr7,109958066,109965412,Lcu.1GRN.7g017960,Lcu.1GRN.7g017960,65-kDa microtubule-associated protein 5
Lcu.1GRN.Chr3,116997358,117000357,Lcu.1GRN.3g015180,Lcu.1GRN.3g015180,AB hydrolase-1 domain-containing protein
Lcu.1GRN.Chr1,359334444,359335616,Lcu.1GRN.1g034530,Lcu.1GRN.1g034530,ABC transporter domain-containing protein
Lcu.1GRN.Chr1,413480560,413487178,Lcu.1GRN.1g042110,Lcu.1GRN.1g042110,ABC transporter domain-containing protein
Lcu.1GRN.Chr6,292993232,292994482,Lcu.1GRN.6g034230,Lcu.1GRN.6g034230,ABC1 domain-containing protein
Lcu.1GRN.Chr7,241354961,241357440,Lcu.1GRN.7g031260,Lcu.1GRN.7g031260,ABC-type xenobiotic transporter
Lcu.1GRN.Chr7,68056530,68057528,Lcu.1GRN.7g014000,Lcu.1GRN.7g014000,Abhydrolase_3 domain-containing protein
Lcu.1GRN.Chr7,68111872,68112909,Lcu.1GRN.7g014010,Lcu.1GRN.7g014010,Abhydrolase_3 domain-containing protein
Lcu.1GRN.Chr3,344077863,344081758,Lcu.1GRN.3g047170,Lcu.1GRN.3g047170,Abscisic acid receptor PYL8-like
Lcu.1GRN.Chr1,413343789,413345971,Lcu.1GRN.1g042080,Lcu.1GRN.1g042080,Abscisic-aldehyde oxidase-like protein
Lcu.1GRN.Chr7,125410164,125412805,Lcu.1GRN.7g019750,Lcu.1GRN.7g019750,acid phosphatase 1-like
Lcu.1GRN.Chr1,370888279,370889154,Lcu.1GRN.1g036120,Lcu.1GRN.1g036120,Acireductone dioxygenase
Lcu.1GRN.Chr1,370951534,370953734,Lcu.1GRN.1g036140,Lcu.1GRN.1g036140,Acireductone dioxygenase
Lcu.1GRN.Chr6,292988952,292989760,Lcu.1GRN.6g034200,Lcu.1GRN.6g034200,Actin-depolymerizing factor
Lcu.1GRN.Chr3,344328156,344329838,Lcu.1GRN.3g047240,Lcu.1GRN.3g047240,actin-depolymerizing factor
Lcu.1GRN.Chr7,227513167,227515065,Lcu.1GRN.7g030040,Lcu.1GRN.7g030040,actin-depolymerizing factor
Lcu.1GRN.Chr7,68952912,68963729,Lcu.1GRN.7g014130,Lcu.1GRN.7g014130,Acyl-activating enzyme 19
Lcu.1GRN.Chr7,246656844,246670470,Lcu.1GRN.7g031940,Lcu.1GRN.7g031940,Acyltransferase
Lcu.1GRN.Chr7,235964451,235966206,Lcu.1GRN.7g030980,Lcu.1GRN.7g030980,AdoMet-dependent rRNA methyltransferase spb1
Lcu.1GRN.Chr1,351855989,351856588,Lcu.1GRN.1g033490,Lcu.1GRN.1g033490,agamous-like MADS-box protein AGL62
