seqnames,start,end,ID,Name,Description,z_score
Lcu.1GRN.Chr3,93484277,93484645,Lcu.1GRN.3g012980,Lcu.1GRN.3g012980,1; 3-beta-glucan synthase,12.53694269
Lcu.1GRN.Chr7,558269057,558269455,Lcu.1GRN.7g057060,Lcu.1GRN.7g057060,14 kDa proline-rich protein DC2.15-like,6.308516605
Lcu.1GRN.Chr3,112302206,112303934,Lcu.1GRN.3g014510,Lcu.1GRN.3g014510,2-alkenal reductase (NADP(+)-dependent)-like,16.02426806
Lcu.1GRN.Chr6,293282045,293296484,Lcu.1GRN.6g034300,Lcu.1GRN.6g034300,2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein,9.822298204
Lcu.1GRN.Chr2,538185353,538188070,Lcu.1GRN.2g070940,Lcu.1GRN.2g070940,3-deoxy-manno-octulosonate cytidylyltransferase,6.074564558
Lcu.1GRN.Chr3,122106267,122110017,Lcu.1GRN.3g015840,Lcu.1GRN.3g015840,3-hydroxyisobutyryl-CoA hydrolase-like protein,5.032959347
Lcu.1GRN.Chr3,76611725,76613480,Lcu.1GRN.3g010870,Lcu.1GRN.3g010870,40S ribosomal protein S19,4.681846552
Lcu.1GRN.Chr6,292772568,292774664,Lcu.1GRN.6g034170,Lcu.1GRN.6g034170,50S ribosomal protein L5;  chloroplastic,5.145876129
Lcu.1GRN.Chr7,631304952,631307078,Lcu.1GRN.7g069760,Lcu.1GRN.7g069760,60S ribosomal L14-like protein,6.083703834
Lcu.1GRN.Chr3,122065292,122067892,Lcu.1GRN.3g015830,Lcu.1GRN.3g015830,60S ribosomal protein L18a,5.032959347
Lcu.1GRN.Chr2,523034969,523039447,Lcu.1GRN.2g069350,Lcu.1GRN.2g069350,60S ribosomal protein L18a-like protein,4.85850303
Lcu.1GRN.Chr6,294153331,294157358,Lcu.1GRN.6g034380,Lcu.1GRN.6g034380,AB hydrolase-1 domain-containing protein,7.542398557
Lcu.1GRN.Chr6,392534632,392537422,Lcu.1GRN.6g051490,Lcu.1GRN.6g051490,AB hydrolase-1 domain-containing protein,5.559638996
Lcu.1GRN.Chr3,99802496,99813925,Lcu.1GRN.3g013460,Lcu.1GRN.3g013460,ABC transporter A family member 7-like,6.32205252
Lcu.1GRN.Chr3,99071968,99084044,Lcu.1GRN.3g013430,Lcu.1GRN.3g013430,ABC transporter A family protein,8.86622391
Lcu.1GRN.Chr6,296907690,296912408,Lcu.1GRN.6g034980,Lcu.1GRN.6g034980,ABC transporter domain-containing protein,8.610499003
Lcu.1GRN.Chr6,381370153,381372074,Lcu.1GRN.6g048960,Lcu.1GRN.6g048960,actin-depolymerizing factor,5.35234154
Lcu.1GRN.Chr6,391565702,391567434,Lcu.1GRN.6g051270,Lcu.1GRN.6g051270,Adenylate kinase,9.258208748
Lcu.1GRN.Chr3,85685652,85688656,Lcu.1GRN.3g012050,Lcu.1GRN.3g012050,ADP; ATP carrier protein,4.772489399
Lcu.1GRN.Chr2,568860833,568866978,Lcu.1GRN.2g074370,Lcu.1GRN.2g074370,ADP-ribosylation factor GTPase-activating protein AGD5 isoform X1,4.683327701
Lcu.1GRN.Chr3,116592760,116595024,Lcu.1GRN.3g015060,Lcu.1GRN.3g015060,Alanine--glyoxylate transaminase,9.567476668
Lcu.1GRN.Chr6,390584783,390587738,Lcu.1GRN.6g050930,Lcu.1GRN.6g050930,Alcohol dehydrogenase,5.767040218
Lcu.1GRN.Chr7,631288659,631290300,Lcu.1GRN.7g069740,Lcu.1GRN.7g069740,Alpha-and gamma-adaptin-binding protein p34,6.083703834
Lcu.1GRN.Chr6,319074973,319081395,Lcu.1GRN.6g038690,Lcu.1GRN.6g038690,Alpha-mannosidase,4.506657229
Lcu.1GRN.Chr6,319083702,319098196,Lcu.1GRN.6g038700,Lcu.1GRN.6g038700,Alpha-mannosidase,4.506657229
Lcu.1GRN.Chr3,149081576,149082372,Lcu.1GRN.3g018650,Lcu.1GRN.3g018650,Animal RPA1 domain protein,7.221316758
Lcu.1GRN.Chr2,475310305,475312190,Lcu.1GRN.2g064430,Lcu.1GRN.2g064430,Ankyrin repeat domain-containing protein EMB506;  chloroplastic,7.459195178
Lcu.1GRN.Chr6,323124217,323124495,Lcu.1GRN.6g039020,Lcu.1GRN.6g039020,Antimicrobial peptide MBP-1 related (LEM1),6.079692456
Lcu.1GRN.Chr6,391800477,391802833,Lcu.1GRN.6g051300,Lcu.1GRN.6g051300,AP2 domain transcription factor,15.35047328
Lcu.1GRN.Chr6,323197548,323204282,Lcu.1GRN.6g039060,Lcu.1GRN.6g039060,ATP-dependent DNA helicase At3g02060;  chloroplastic,5.920496366
Lcu.1GRN.Chr6,381361686,381364878,Lcu.1GRN.6g048940,Lcu.1GRN.6g048940,ATP-dependent zinc metalloprotease FTSH protein,5.35234154
Lcu.1GRN.Chr3,94143900,94144519,Lcu.1GRN.3g013010,Lcu.1GRN.3g013010,Autophagy-related protein,5.539678184
Lcu.1GRN.Chr3,94144745,94145264,Lcu.1GRN.3g013020,Lcu.1GRN.3g013020,Autophagy-related protein,5.539678184
Lcu.1GRN.Chr6,380663469,380668284,Lcu.1GRN.6g048770,Lcu.1GRN.6g048770,Autophagy-related protein 9,8.1187337
Lcu.1GRN.Chr6,394397283,394415206,Lcu.1GRN.6g051970,Lcu.1GRN.6g051970,Auxin response factor,8.052426812
Lcu.1GRN.Chr6,315685021,315691476,Lcu.1GRN.6g038170,Lcu.1GRN.6g038170,BAR domain-containing protein,4.877979722
Lcu.1GRN.Chr6,318636015,318638201,Lcu.1GRN.6g038610,Lcu.1GRN.6g038610,Basic helix-loop-helix transcription factor,7.438022278
Lcu.1GRN.Chr3,385250509,385298599,Lcu.1GRN.3g054830,Lcu.1GRN.3g054830,BEACH domain-containing protein B,4.687949221
Lcu.1GRN.Chr3,100224145,100224672,Lcu.1GRN.3g013500,Lcu.1GRN.3g013500,BED-type domain-containing protein,8.358618297
Lcu.1GRN.Chr3,100224939,100226621,Lcu.1GRN.3g013510,Lcu.1GRN.3g013510,BED-type domain-containing protein,8.358618297
Lcu.1GRN.Chr7,631283332,631283994,Lcu.1GRN.7g069730,Lcu.1GRN.7g069730,Bet_v_1 domain-containing protein,6.083703834
Lcu.1GRN.Chr7,558246360,558250412,Lcu.1GRN.7g057050,Lcu.1GRN.7g057050,Beta-1; 4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like,6.308516605
Lcu.1GRN.Chr6,380599907,380603849,Lcu.1GRN.6g048750,Lcu.1GRN.6g048750,BHLH transcription factor-like protein,7.756767095
Lcu.1GRN.Chr3,127024848,127025399,Lcu.1GRN.3g016260,Lcu.1GRN.3g016260,Bifunctional purine biosynthesis protein purH,7.155077563
Lcu.1GRN.Chr3,127025533,127028988,Lcu.1GRN.3g016270,Lcu.1GRN.3g016270,Bifunctional purine biosynthesis protein PurH,7.155077563
Lcu.1GRN.Chr3,76605275,76609259,Lcu.1GRN.3g010860,Lcu.1GRN.3g010860,Bifunctional purine biosynthesis protein PurH,4.681846552
Lcu.1GRN.Chr2,542173019,542174903,Lcu.1GRN.2g071490,Lcu.1GRN.2g071490,BPL/LPL catalytic domain-containing protein,4.849879777
Lcu.1GRN.Chr2,540344555,540346671,Lcu.1GRN.2g071210,Lcu.1GRN.2g071210,BRCA1-associated protein,5.764816394
