"seqnames","start","end","ID","Name","Description","z_score","clean_id","go_terms","TERM","ONTOLOGY","term_name","ontology_full"
"Lcu.1GRN.Chr7",649474601,649478881,"Lcu.1GRN.7g078450","Lcu.1GRN.7g078450","[Acyl-carrier-protein] S-malonyltransferase",4.907428244,"Lcu.1GRN.7g078450","GO:0016740","transferase activity","MF","transferase activity","Molecular Function"
"Lcu.1GRN.Chr7",649474601,649478881,"Lcu.1GRN.7g078450","Lcu.1GRN.7g078450","[Acyl-carrier-protein] S-malonyltransferase",4.907428244,"Lcu.1GRN.7g078450","GO:0004314","[acyl-carrier-protein] S-malonyltransferase activity","MF","[acyl-carrier-protein] S-malonyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr2",135757479,135759168,"Lcu.1GRN.2g026090","Lcu.1GRN.2g026090","1; 3-beta-glucan synthase",7.040905805,"Lcu.1GRN.2g026090","GO:0005886","plasma membrane","CC","plasma membrane","Cellular Component"
"Lcu.1GRN.Chr2",135757479,135759168,"Lcu.1GRN.2g026090","Lcu.1GRN.2g026090","1; 3-beta-glucan synthase",7.040905805,"Lcu.1GRN.2g026090","GO:0046527","glucosyltransferase activity","MF","glucosyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0000148","1,3-beta-D-glucan synthase complex","CC","1,3-beta-D-glucan synthase complex","Cellular Component"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0003843","1,3-beta-D-glucan synthase activity","MF","1,3-beta-D-glucan synthase activity","Molecular Function"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0006075","(1->3)-beta-D-glucan biosynthetic process","BP","(1->3)-beta-D-glucan biosynthetic process","Biological Process"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0016020","membrane","CC","membrane","Cellular Component"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0005886","plasma membrane","CC","plasma membrane","Cellular Component"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0046527","glucosyltransferase activity","MF","glucosyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0003887","DNA-directed DNA polymerase activity","MF","DNA-directed DNA polymerase activity","Molecular Function"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0005634","nucleus","CC","nucleus","Cellular Component"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0006260","DNA replication","BP","DNA replication","Biological Process"
"Lcu.1GRN.Chr4",160750127,160753308,"Lcu.1GRN.4g020700","Lcu.1GRN.4g020700","1; 3-beta-glucan synthase",5.737301956,"Lcu.1GRN.4g020700","GO:0008270","zinc ion binding","MF","zinc ion binding","Molecular Function"
"Lcu.1GRN.Chr4",114235660,114236205,"Lcu.1GRN.4g016080","Lcu.1GRN.4g016080","1-acylglycerol-3-phosphate O-acyltransferase",6.446870086,"Lcu.1GRN.4g016080","GO:0012505","endomembrane system","CC","endomembrane system","Cellular Component"
"Lcu.1GRN.Chr4",114235660,114236205,"Lcu.1GRN.4g016080","Lcu.1GRN.4g016080","1-acylglycerol-3-phosphate O-acyltransferase",6.446870086,"Lcu.1GRN.4g016080","GO:0016746","acyltransferase activity","MF","acyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr4",488460721,488462791,"Lcu.1GRN.4g071020","Lcu.1GRN.4g071020","1-aminocyclopropane-1-carboxylate synthase",7.14254818,"Lcu.1GRN.4g071020","GO:0006520","amino acid metabolic process","BP","amino acid metabolic process","Biological Process"
"Lcu.1GRN.Chr4",488460721,488462791,"Lcu.1GRN.4g071020","Lcu.1GRN.4g071020","1-aminocyclopropane-1-carboxylate synthase",7.14254818,"Lcu.1GRN.4g071020","GO:0008483","transaminase activity","MF","transaminase activity","Molecular Function"
"Lcu.1GRN.Chr4",488460721,488462791,"Lcu.1GRN.4g071020","Lcu.1GRN.4g071020","1-aminocyclopropane-1-carboxylate synthase",7.14254818,"Lcu.1GRN.4g071020","GO:0003824","catalytic activity","MF","catalytic activity","Molecular Function"
"Lcu.1GRN.Chr4",488460721,488462791,"Lcu.1GRN.4g071020","Lcu.1GRN.4g071020","1-aminocyclopropane-1-carboxylate synthase",7.14254818,"Lcu.1GRN.4g071020","GO:0009058","biosynthetic process","BP","biosynthetic process","Biological Process"
"Lcu.1GRN.Chr4",488460721,488462791,"Lcu.1GRN.4g071020","Lcu.1GRN.4g071020","1-aminocyclopropane-1-carboxylate synthase",7.14254818,"Lcu.1GRN.4g071020","GO:0030170","pyridoxal phosphate binding","MF","pyridoxal phosphate binding","Molecular Function"
